Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude,frying pan,comments,,,
NC35B,LAMSAS,Female,44,White,Between 1 and 8 years,Keeping house,35.5,-78.3625,spider,,,,
NC35B,LAMSAS,Female,44,White,Between 1 and 8 years,Keeping house,35.5,-78.3625,skillet,,,,
NC35B,LAMSAS,Female,44,White,Between 1 and 8 years,Keeping house,35.5,-78.3625,skillet,,,,
NC36N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Farmer,35.28333,-78.91722,frying pan,,,,
NC36N,LAMSAS,Male,77,Black or African American,Between 1 and 8 years,Farmer,35.28333,-78.91722,spider,,,,
NC36A,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,35.32667,-78.67639,frying pan,,,,
NC36A,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,35.32667,-78.67639,frying pan,,,,
NC36A,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,35.32667,-78.67639,spider,,,,
NC36A,LAMSAS,Male,76,White,Between 1 and 8 years,Farmer,35.32667,-78.67639,spider,,,,
NC36B,LAMSAS,Male,43,White,At least some high school,Farmer,34.88778,-79.36639,spider,,,,
NC36B,LAMSAS,Male,43,White,At least some high school,Farmer,34.88778,-79.36639,spider,,,,
NC37A,LAMSAS,Female,65,White,No formal schooling,Keeping house,34.80889,-79.54806,frying pan,,,,
NC37A,LAMSAS,Female,65,White,No formal schooling,Keeping house,34.80889,-79.54806,spider,,,,
NC37A,LAMSAS,Female,65,White,No formal schooling,Keeping house,34.80889,-79.54806,skillet,,,,
NC37B,LAMSAS,Male,52,White,At least some college or beyond,Farmer,34.75889,-79.61083,frying pan,,,,
NC37B,LAMSAS,Male,52,White,At least some college or beyond,Farmer,34.75889,-79.61083,frying pan,,,,
NC37B,LAMSAS,Male,52,White,At least some college or beyond,Farmer,34.75889,-79.61083,skillet,,,,
NC37B,LAMSAS,Male,52,White,At least some college or beyond,Farmer,34.75889,-79.61083,skillet,,,,
NC38N,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,36.48639,-78.17111,frying pan,,,,
NC38N,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,36.48639,-78.17111,frying pan,,,,
NC38N,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,36.48639,-78.17111,spider,,,,
NC38N,LAMSAS,Male,81,Black or African American,No formal schooling,Farmer,36.48639,-78.17111,spider,,,,
NC38A,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944,frying pan,,,,
NC38A,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944,frying pan,,,,
NC38A,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944,spider,,,,
NC38A,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944,spider,,,,
NC38A,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944,skillet,,,,
NC38A,LAMSAS,Male,70,White,No formal schooling,Farmer,36.34722,-78.06944,skillet,,,,
NC38B,LAMSAS,Female,58,White,At least some high school,Keeping house,36.17139,-78.2525,frying pan,,,,
NC38B,LAMSAS,Female,58,White,At least some high school,Keeping house,36.17139,-78.2525,frying pan,,,,
NC38B,LAMSAS,Female,58,White,At least some high school,Keeping house,36.17139,-78.2525,spider,,,,
NC38B,LAMSAS,Female,58,White,At least some high school,Keeping house,36.17139,-78.2525,spider,,,,
NC39A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.96083,-78.25389,frying pan,,,,
NC39A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.96083,-78.25389,skillet,,,,
NC39A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.96083,-78.25389,spider,,,,
NC39B!,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.95,-78.24583,frying pan,,,,
NC39B!,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.95,-78.24583,skillet,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,frying pan,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,frying pan,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,frying pan,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,skillet,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,skillet,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,skillet,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,spider,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,spider,,,,
NC40A,LAMSAS,Female,68,White,Between 1 and 8 years,Professional or technical job,36.31055,-78.59111,spider,,,,
NC40B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,36.44806,-78.57056,frying pan,,,,
NC40B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,36.44806,-78.57056,frying pan,,,,
NC40B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,36.44806,-78.57056,skillet,,,,
NC40B,LAMSAS,Male,58,White,Between 1 and 8 years,Farmer,36.44806,-78.57056,skillet,,,,
NC41!,LAMSAS,Female,54,White,At least some college or beyond,Clerical or sales position,35.79139,-78.78139,frying pan,,,,
NC42A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,35.90694,-78.72639,frying pan,,,,
NC42A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,35.90694,-78.72639,frying pan,,,,
NC42A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,35.90694,-78.72639,skillet,,,,
NC42A,LAMSAS,Male,84,White,Between 1 and 8 years,Farmer,35.90694,-78.72639,skillet,,,,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,frying pan,,,,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,frying pan,,,,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,frying pan,,,,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,frying pan,,,,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,spider,,,,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,spider,,,,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,skillet,,,,
NC42B,LAMSAS,Female,44,White,At least some high school,Keeping house,35.77195,-78.63889,skillet,,,,
NC43A,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625,frying pan,,,,
NC43A,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625,frying pan,,,,
NC43A,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625,skillet,,,,
NC43A,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625,skillet,,,,
NC43A,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625,spider,,,,
NC43A,LAMSAS,Female,80,White,No formal schooling,Private household worker or gardener,35.72333,-79.4625,spider,,,,
NC43B,LAMSAS,Male,41,White,Between 1 and 8 years,Farmer,35.56778,-79.46333,frying pan,,,,
NC43B,LAMSAS,Male,41,White,Between 1 and 8 years,Farmer,35.56778,-79.46333,frying pan,,,,
NC43B,LAMSAS,Male,41,White,Between 1 and 8 years,Farmer,35.56778,-79.46333,skillet,,,,
NC43B,LAMSAS,Male,41,White,Between 1 and 8 years,Farmer,35.56778,-79.46333,skillet,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,frying pan,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,frying pan,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,frying pan,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,skillet,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,skillet,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,skillet,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,frying pan,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,frying pan,,,,
NC44,LAMSAS,Male,49,White,At least some college or beyond,Farmer,36.1675,-79.16805,frying pan,,,,
NC45A,LAMSAS,Female,80,White,No formal schooling,Laborer,35.97583,-79.19417,frying pan,,,,
NC45A,LAMSAS,Female,80,White,No formal schooling,Laborer,35.97583,-79.19417,frying pan,,,,
NC45A,LAMSAS,Female,80,White,No formal schooling,Laborer,35.97583,-79.19417,skillet,,,,
NC45A,LAMSAS,Female,80,White,No formal schooling,Laborer,35.97583,-79.19417,skillet,,,,
NC45B,LAMSAS,Male,75,White,No formal schooling,Unknown,36.40389,-79.33639,frying pan,,,,
NC45B,LAMSAS,Male,75,White,No formal schooling,Unknown,36.40389,-79.33639,skillet,,,,
NC46A,LAMSAS,Male,83,White,Between 1 and 8 years,Farmer,36.35472,-79.66472,frying pan,,,,
NC46A,LAMSAS,Male,83,White,Between 1 and 8 years,Farmer,36.35472,-79.66472,skillet,,,,
NC46B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,36.4,-79.77472,frying pan,,,,
NC46B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,36.4,-79.77472,frying pan,,,,
NC46B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,36.4,-79.77472,skillet,,,,
NC46B,LAMSAS,Male,44,White,At least some college or beyond,Farmer,36.4,-79.77472,skillet,,,,
NC46C!,LAMSAS,Female,48,White,At least some college or beyond,"Manager, official, or proprietor",36.08972,-79.88889,frying pan,,,,
NC47,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,36.08333,-79.895,frying pan,,,,
NC47,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,36.08333,-79.895,skillet,,,,
NC48,LAMSAS,Male,52,White,At least some high school,Farmer,36.0725,-79.79222,frying pan,,,,
NC48,LAMSAS,Male,52,White,At least some high school,Farmer,36.0725,-79.79222,frying pan,,,,
NC48,LAMSAS,Male,52,White,At least some high school,Farmer,36.0725,-79.79222,skillet,,,,
NC48,LAMSAS,Male,52,White,At least some high school,Farmer,36.0725,-79.79222,skillet,,,,
NC49,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,35.82306,-79.86111,frying pan,,,,
NC49,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,35.82306,-79.86111,frying pan,,,,
NC49,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,35.82306,-79.86111,skillet,,,,
NC49,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,35.82306,-79.86111,skillet,,,,
NC50A,LAMSAS,Male,45,White,At least some high school,Farmer,35.8825,-80.08222,frying pan,,,,
NC50A,LAMSAS,Male,45,White,At least some high school,Farmer,35.8825,-80.08222,frying pan,,,,
NC50A,LAMSAS,Male,45,White,At least some high school,Farmer,35.8825,-80.08222,skillet,,,,
NC50A,LAMSAS,Male,45,White,At least some high school,Farmer,35.8825,-80.08222,skillet,,,,
NC50B!,LAMSAS,Female,38,White,At least some college or beyond,Clerical or sales position,35.52111,-80.33833,frying pan,,,,
NC50B!,LAMSAS,Female,38,White,At least some college or beyond,Clerical or sales position,35.52111,-80.33833,frying pan,,,,
NC50B!,LAMSAS,Female,38,White,At least some college or beyond,Clerical or sales position,35.52111,-80.33833,skillet,,,,
NC50B!,LAMSAS,Female,38,White,At least some college or beyond,Clerical or sales position,35.52111,-80.33833,skillet,,,,
NC51A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,35.68333,-80.4875,frying pan,,,,
NC51A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,35.68333,-80.4875,skillet,,,,
NC51B,LAMSAS,Male,49,White,At least some college or beyond,Farmer,35.67083,-80.47444,frying pan,,,,
NC51B,LAMSAS,Male,49,White,At least some college or beyond,Farmer,35.67083,-80.47444,frying pan,,,,
NC51B,LAMSAS,Male,49,White,At least some college or beyond,Farmer,35.67083,-80.47444,skillet,,,,
NC51B,LAMSAS,Male,49,White,At least some college or beyond,Farmer,35.67083,-80.47444,skillet,,,,
NC52N,LAMSAS,Female,90,Black or African American,No formal schooling,Keeping house,35.47083,-79.77778,fryer,,,,
NC52N,LAMSAS,Female,90,Black or African American,No formal schooling,Keeping house,35.47083,-79.77778,spider,,,,
NC52A,LAMSAS,Female,77,White,Between 1 and 8 years,Laborer,35.21528,-79.73111,frying pan,,,,
NC52A,LAMSAS,Female,77,White,Between 1 and 8 years,Laborer,35.21528,-79.73111,spider,,,,
NC52A,LAMSAS,Female,77,White,Between 1 and 8 years,Laborer,35.21528,-79.73111,skillet,,,,
NC52B,LAMSAS,Male,48,White,At least some high school,Farmer,34.96806,-80.07694,frying pan,,,,
NC52B,LAMSAS,Male,48,White,At least some high school,Farmer,34.96806,-80.07694,spider,,,,
NC52B,LAMSAS,Male,48,White,At least some high school,Farmer,34.96806,-80.07694,skillet,,,,
NC53A,LAMSAS,Male,82,White,Unknown,Farmer,34.935,-79.88972,frying pan,,,,
NC53A,LAMSAS,Male,82,White,Unknown,Farmer,34.935,-79.88972,skillet,,,,
NC53B,LAMSAS,Female,42,White,At least some high school,Keeping house,34.86389,-80.00139,frying pan,,,,
NC53B,LAMSAS,Female,42,White,At least some high school,Keeping house,34.86389,-80.00139,frying pan,,,,
NC53B,LAMSAS,Female,42,White,At least some high school,Keeping house,34.86389,-80.00139,skillet,,,,
NC53B,LAMSAS,Female,42,White,At least some high school,Keeping house,34.86389,-80.00139,skillet,,,,
NC54A,LAMSAS,Male,79,White,At least some high school,Farmer,34.98833,-80.36723,frying pan,,,,
NC54A,LAMSAS,Male,79,White,At least some high school,Farmer,34.98833,-80.36723,skillet,,,,
NC54B,LAMSAS,Female,41,White,At least some high school,Keeping house,34.98417,-80.44945,frying pan,,,,
NC54B,LAMSAS,Female,41,White,At least some high school,Keeping house,34.98417,-80.44945,frying pan,,,,
NC54B,LAMSAS,Female,41,White,At least some high school,Keeping house,34.98417,-80.44945,skillet,,,,
NC54B,LAMSAS,Female,41,White,At least some high school,Keeping house,34.98417,-80.44945,skillet,,,,
NC55,LAMSAS,Male,86,White,No formal schooling,Farmer,35.40861,-80.57972,frying pan,,,,
NC55,LAMSAS,Male,86,White,No formal schooling,Farmer,35.40861,-80.57972,frying pan,,,,
NC55,LAMSAS,Male,86,White,No formal schooling,Farmer,35.40861,-80.57972,skillet,,,,
NC55,LAMSAS,Male,86,White,No formal schooling,Farmer,35.40861,-80.57972,skillet,,,,
NC56A,LAMSAS,Female,60,White,At least some high school,Keeping house,35.44167,-80.595,frying pan,,,,
NC56A,LAMSAS,Female,60,White,At least some high school,Keeping house,35.44167,-80.595,frying pan,,,,
NC56A,LAMSAS,Female,60,White,At least some high school,Keeping house,35.44167,-80.595,skillet,,,,
NC56A,LAMSAS,Female,60,White,At least some high school,Keeping house,35.44167,-80.595,skillet,,,,
NC56B!,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.17944,-80.6475,frying pan,,,,
NC57A,LAMSAS,Male,81,White,Between 1 and 8 years,"Manager, official, or proprietor",35.46695,-80.81445,frying pan,,,,
NC57A,LAMSAS,Male,81,White,Between 1 and 8 years,"Manager, official, or proprietor",35.46695,-80.81445,skillet,,,,
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333,frying pan,,,,
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333,frying pan,,,,
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333,frying pan,,,,
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333,skillet,,,,
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333,skillet,,,,
NC57B,LAMSAS,Male,36,White,At least some high school,Farmer,35.22694,-80.84333,skillet,,,,
NC58A,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,36.40917,-80.20611,frying pan,,,,
NC58A,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,36.40917,-80.20611,frying pan,,,,
NC58A,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,36.40917,-80.20611,skillet,,,,
NC58A,LAMSAS,Male,72,White,Between 1 and 8 years,Farmer,36.40917,-80.20611,skillet,,,,
NC58B,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,36.41111,-80.21944,frying pan,,,,
NC58B,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,36.41111,-80.21944,frying pan,,,,
NC58B,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,36.41111,-80.21944,skillet,,,,
NC58B,LAMSAS,Female,39,White,Between 1 and 8 years,Unknown,36.41111,-80.21944,skillet,,,,
NC59,LAMSAS,Female,86,White,Between 1 and 8 years,Keeping house,36.49917,-80.6075,frying pan,,,,
NC59,LAMSAS,Female,86,White,Between 1 and 8 years,Keeping house,36.49917,-80.6075,skillet,,,,
NC59,LAMSAS,Female,86,White,Between 1 and 8 years,Keeping house,36.49917,-80.6075,spider,,,,
NC60,LAMSAS,Male,41,White,At least some high school,Farmer,36.48222,-80.83806,frying pan,,,,
NC60,LAMSAS,Male,41,White,At least some high school,Farmer,36.48222,-80.83806,frying pan,,,,
NC60,LAMSAS,Male,41,White,At least some high school,Farmer,36.48222,-80.83806,skillet,,,,
NC60,LAMSAS,Male,41,White,At least some high school,Farmer,36.48222,-80.83806,skillet,,,,
NC61A,LAMSAS,Male,74,White,No formal schooling,Farmer,36.2325,-80.70834,frying pan,,,,
NC61A,LAMSAS,Male,74,White,No formal schooling,Farmer,36.2325,-80.70834,skillet,,,,
NC61B,LAMSAS,Female,40,White,At least some high school,Keeping house,36.23806,-80.37167,frying pan,,,,
NC61B,LAMSAS,Female,40,White,At least some high school,Keeping house,36.23806,-80.37167,frying pan,,,,
NC61B,LAMSAS,Female,40,White,At least some high school,Keeping house,36.23806,-80.37167,skillet,,,,
NC61B,LAMSAS,Female,40,White,At least some high school,Keeping house,36.23806,-80.37167,skillet,,,,
NC62A,LAMSAS,Male,76,White,Between 1 and 8 years,Unknown,36.01472,-80.95667,frying pan,,,,
NC62A,LAMSAS,Male,76,White,Between 1 and 8 years,Unknown,36.01472,-80.95667,frying pan,,,,
NC62A,LAMSAS,Male,76,White,Between 1 and 8 years,Unknown,36.01472,-80.95667,skillet,,,,
NC62A,LAMSAS,Male,76,White,Between 1 and 8 years,Unknown,36.01472,-80.95667,skillet,,,,
NC62B,LAMSAS,Female,52,White,At least some high school,Keeping house,35.7825,-80.8875,frying pan,,,,
NC62B,LAMSAS,Female,52,White,At least some high school,Keeping house,35.7825,-80.8875,frying pan,,,,
NC62B,LAMSAS,Female,52,White,At least some high school,Keeping house,35.7825,-80.8875,skillet,,,,
NC62B,LAMSAS,Female,52,White,At least some high school,Keeping house,35.7825,-80.8875,skillet,,,,
NC63A,LAMSAS,Female,74,White,Between 1 and 8 years,Other (see notes),36.40361,-81.49306,frying pan,,,,
NC63A,LAMSAS,Female,74,White,Between 1 and 8 years,Other (see notes),36.40361,-81.49306,skillet,,,,
NC63B,LAMSAS,Female,52,White,At least some high school,Public Servant,36.44889,-81.38889,frying pan,,,,
NC63B,LAMSAS,Female,52,White,At least some high school,Public Servant,36.44889,-81.38889,frying pan,,,,
NC63B,LAMSAS,Female,52,White,At least some high school,Public Servant,36.44889,-81.38889,skillet,,,,
NC63B,LAMSAS,Female,52,White,At least some high school,Public Servant,36.44889,-81.38889,skillet,,,,
NC64A,LAMSAS,Male,86,White,No formal schooling,Farmer,36.23528,-81.61916,frying pan,,,,
NC64A,LAMSAS,Male,86,White,No formal schooling,Farmer,36.23528,-81.61916,skillet,,,,
NC64B,LAMSAS,Male,39,White,Between 1 and 8 years,Farmer,36.14583,-81.16084,frying pan,,,,
NC64B,LAMSAS,Male,39,White,Between 1 and 8 years,Farmer,36.14583,-81.16084,skillet,,,,
NC65A,LAMSAS,Female,66,White,Between 1 and 8 years,Keeping house,35.58611,-81.40916,frying pan,,,,
NC65A,LAMSAS,Female,66,White,Between 1 and 8 years,Keeping house,35.58611,-81.40916,skillet,,,,
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139,frying pan,,,,
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139,frying pan,,,,
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139,skillet,,,,
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139,skillet,,,,
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139,spider,,,,
NC65B,LAMSAS,Female,64,White,Between 1 and 8 years,Private household worker or gardener,35.73306,-81.34139,spider,,,,
NC66A,LAMSAS,Male,75,White,No formal schooling,Farmer,35.92556,-81.67472,frying pan,,,,
NC66A,LAMSAS,Male,75,White,No formal schooling,Farmer,35.92556,-81.67472,skillet,,,,
NC66B,LAMSAS,Female,53,White,At least some high school,Keeping house,35.99222,-81.40195,frying pan,,,,
NC66B,LAMSAS,Female,53,White,At least some high school,Keeping house,35.99222,-81.40195,frying pan,,,,
NC66B,LAMSAS,Female,53,White,At least some high school,Keeping house,35.99222,-81.40195,skillet,,,,
NC66B,LAMSAS,Female,53,White,At least some high school,Keeping house,35.99222,-81.40195,skillet,,,,
NC67A,LAMSAS,Male,84,White,No formal schooling,Farmer,35.41389,-81.56333,frying pan,,,,
NC67A,LAMSAS,Male,84,White,No formal schooling,Farmer,35.41389,-81.56333,frying pan,,,,
NC67A,LAMSAS,Male,84,White,No formal schooling,Farmer,35.41389,-81.56333,skillet,,,,
NC67A,LAMSAS,Male,84,White,No formal schooling,Farmer,35.41389,-81.56333,skillet,,,,
NC67B,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,35.25417,-81.66722,frying pan,,,,
NC67B,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,35.25417,-81.66722,frying pan,,,,
NC67B,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,35.25417,-81.66722,skillet,,,,
NC67B,LAMSAS,Male,81,White,Between 1 and 8 years,Farmer,35.25417,-81.66722,skillet,,,,
NC68A,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,36.10833,-82.195,frying pan,,,,
NC68A,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,36.10833,-82.195,frying pan,,,,
NC68A,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,36.10833,-82.195,skillet,,,,
NC68A,LAMSAS,Female,67,White,Between 1 and 8 years,Keeping house,36.10833,-82.195,skillet,,,,
NC68B,LAMSAS,Female,42,White,At least some high school,Keeping house,36.01556,-82.15889,frying pan,,,,
NC68B,LAMSAS,Female,42,White,At least some high school,Keeping house,36.01556,-82.15889,frying pan,,,,
NC68B,LAMSAS,Female,42,White,At least some high school,Keeping house,36.01556,-82.15889,skillet,,,,
NC68B,LAMSAS,Female,42,White,At least some high school,Keeping house,36.01556,-82.15889,skillet,,,,
NC69A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.61444,-81.98222,frying pan,,,,
NC69A,LAMSAS,Male,77,White,No formal schooling,Farmer,35.61444,-81.98222,skillet,,,,
NC69B,LAMSAS,Female,57,White,Between 1 and 8 years,Private household worker or gardener,35.66472,-82.0975,frying pan,,,,
NC69B,LAMSAS,Female,57,White,Between 1 and 8 years,Private household worker or gardener,35.66472,-82.0975,skillet,,,,
NC69B,LAMSAS,Female,57,White,Between 1 and 8 years,Private household worker or gardener,35.66472,-82.0975,spider,,,,
NC70A,LAMSAS,Female,71,White,No formal schooling,Other (see notes),35.2975,-82.16139,frying pan,,,,
NC70A,LAMSAS,Female,71,White,No formal schooling,Other (see notes),35.2975,-82.16139,frying pan,,,,
NC70A,LAMSAS,Female,71,White,No formal schooling,Other (see notes),35.2975,-82.16139,skillet,,,,
NC70A,LAMSAS,Female,71,White,No formal schooling,Other (see notes),35.2975,-82.16139,skillet,,,,
NC70B,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944,frying pan,,,,
NC70B,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944,frying pan,,,,
NC70B,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944,skillet,,,,
NC70B,LAMSAS,Male,16,White,At least some high school,Student,35.23611,-82.34944,skillet,,,,
NC71A,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,35.79722,-82.68417,frying pan,,,,
NC71A,LAMSAS,Male,78,White,Between 1 and 8 years,Farmer,35.79722,-82.68417,skillet,,,,
NC71B,LAMSAS,Male,54,White,At least some college or beyond,Farmer,35.84945,-82.73889,frying pan,,,,
NC71B,LAMSAS,Male,54,White,At least some college or beyond,Farmer,35.84945,-82.73889,skillet,,,,
NC71C!,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,35.75361,-82.40694,frying pan,,,,
NC71C!,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,35.75361,-82.40694,frying pan,,,,
NC71C!,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,35.75361,-82.40694,skillet,,,,
NC71C!,LAMSAS,Female,49,White,At least some college or beyond,Keeping house,35.75361,-82.40694,skillet,,,,
NC72A,LAMSAS,Male,74,White,No formal schooling,Farmer,35.53639,-82.69305,frying pan,,,,
NC72A,LAMSAS,Male,74,White,No formal schooling,Farmer,35.53639,-82.69305,skillet,,,,
NC72B,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.60083,-82.55417,frying pan,,,,
NC72B,LAMSAS,Female,45,White,At least some college or beyond,Keeping house,35.60083,-82.55417,frying pan,,,,
NC73A,LAMSAS,Female,86,White,Unknown,Unknown,35.25417,-82.70028,frying pan,,,,
NC73A,LAMSAS,Female,86,White,Unknown,Unknown,35.25417,-82.70028,skillet,,,,
NC73B,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,35.23333,-82.73444,frying pan,,,,
NC73B,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,35.23333,-82.73444,frying pan,,,,
NC73B,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,35.23333,-82.73444,skillet,,,,
NC73B,LAMSAS,Male,77,White,Between 1 and 8 years,Farmer,35.23333,-82.73444,skillet,,,,
NC74A,LAMSAS,Male,76,White,No formal schooling,Farmer,35.47333,-83.72639,frying pan,,,,
NC74A,LAMSAS,Male,76,White,No formal schooling,Farmer,35.47333,-83.72639,spider,,,,
NC74A,LAMSAS,Male,76,White,No formal schooling,Farmer,35.47333,-83.72639,skillet,,,,
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475,frying pan,,,,
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475,frying pan,,,,
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475,skillet,,,,
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475,skillet,,,,
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475,spider,,,,
NC74B,LAMSAS,Female,57,White,At least some high school,Keeping house,35.43083,-83.4475,spider,,,,
