Informant,Project,Sex,Age,Ethnicity ,Education level,Occupation,Latitude,Longitude,picket fence
LA651,LAGS,Male,67,White,Between 1 and 8 years,Laborer,29.9547,-90.075,NR
LA652,LAGS,Female,68,White,At least some high school,Keeping house,29.9569,-90.0745,picket fence 
LA653,LAGS,Female,81,White,At least some college or beyond,Clerical or sales position,29.9556,-90.0771,picket fence 
LA656,LAGS,Male,18,White,At least some high school,Student,29.9574,-90.0713,picket(s) 
LA656,LAGS,Male,18,White,At least some high school,Student,29.9574,-90.0713,redwood 
LA657,LAGS,Male,33,White,At least some college or beyond,Professional & technical,29.9505,-90.0703,picket fence 
LA657,LAGS,Male,33,White,At least some college or beyond,Professional & technical,29.9505,-90.0703,wooden fence 
LA657X,LAGS,Male,86,White,At least some high school,Professional & technical,29.9511,-90.0689,picket fence 
LA657Y,LAGS,Male,53,White,At least some college or beyond,Unknown,29.9493,-90.0694,picket(s) 
LA657Z,LAGS,Male,58,White,At least some college or beyond,Teacher,29.9483,-90.0647,fence 
LA657Z,LAGS,Male,58,White,At least some college or beyond,Teacher,29.9483,-90.0647,picket fence 
LA658,LAGS,Female,66,White,Between 1 and 8 years,"Manager, official or proprietor",29.2317,-89.9967,fence 
LA658,LAGS,Female,66,White,Between 1 and 8 years,"Manager, official or proprietor",29.2317,-89.9967,picket fence 
LA658,LAGS,Female,66,White,Between 1 and 8 years,"Manager, official or proprietor",29.2317,-89.9967,wooden fence 
LA659,LAGS,Male,43,White,At least some high school,Public servant,29.2329,-89.9975,cypress fence 
LA659,LAGS,Male,43,White,At least some high school,Public servant,29.2329,-89.9975,pieu fence 
LA661,LAGS,Female,65,White,Between 1 and 8 years,Keeping house,29.5747,-90.7262,picket fence 
LA662,LAGS,Female,35,White,At least some high school,Keeping house,29.7451,-90.8124,picket fence 
LA663,LAGS,Male,86,White,Between 1 and 8 years,Farmer,29.701,-91.2035,picket fence 
LA664,LAGS,Male,57,White,At least some college or beyond,Farmer,29.8394,-90.9543,picket fence 
LA664,LAGS,Male,57,White,At least some college or beyond,Farmer,29.8394,-90.9543,picket(s) 
,LAGS,Male,52,White,At least some high school,Operative,31.5815,-84.1763,NR
,LAGS,Male,65,White,Between 1 and 8 years,Laborer,31.828,-84.8795,NR
LA666,LAGS,Male,87,White,Between 1 and 8 years,Farmer,30.1053,-90.9849,picket fence 
,LAGS,Male,76,White,At least some high school,Farmer,31.6729,-84.8894,NR
,LAGS,Male,55,White,Between 1 and 8 years,Laborer,31.8829,-85.0935,NR
LA668,LAGS,Female,69,White,At least some high school,Keeping house,30.0568,-91.7381,picket fence 
LA669,LAGS,Female,67,White,Between 1 and 8 years,Keeping house,30.1408,-91.5369,picket(s) 
LA670,LAGS,Female,87,White,Between 1 and 8 years,Keeping house,30.4116,-91.4323,picket fence 
LA670,LAGS,Female,87,White,Between 1 and 8 years,Keeping house,30.4116,-91.4323,picket(s) 
,LAGS,Male,71,White,NoFormal education,Laborer,30.8318,-82.0053,NR
LA671,LAGS,Female,38,White,At least some high school,Operative,30.1563,-91.3307,picket fence 
,LAGS,Male,50,White,At least some college or beyond,"Manager, official or proprietor",31.2114,-82.3584,NR
LA673,LAGS,Male,68,White,At least some college or beyond,Professional & technical,30.6933,-91.434,picket(s) 
LA673,LAGS,Male,68,White,At least some college or beyond,Professional & technical,30.6933,-91.434,wooden fence 
,LAGS,Female,58,White,At least some high school,Operative,31.144,-81.4949,NR
,LAGS,Female,70,White,Between 1 and 8 years,Keeping house,31.2772,-82.7374,NR
,LAGS,Male,77,White,NoFormal education,Farmer,31.0357,-82.7571,NR
,LAGS,Male,85,White,Between 1 and 8 years,Professional & technical,31.0357,-82.7467,NR
,LAGS,Female,23,White,At least some college or beyond,Keeping house,30.8245,-83.2755,NR
,LAGS,Male,50,White,At least some high school,Clerical or sales position,31.1713,-84.7333,NR
,LAGS,Male,71,White,At least some college or beyond,Teacher,31.1699,-84.7331,NR
,LAGS,Male,33,White,At least some college or beyond,Teacher,31.1699,-84.7331,NR
,LAGS,Male,68,White,Between 1 and 8 years,Fisher,30.2776,-89.7828,NR
,LAGS,Male,86,White,Between 1 and 8 years,Clerical or sales position,30.4174,-91.4339,NR
,LAGS,Male,55,White,At least some high school,Laborer,30.4109,-91.4342,NR
,LAGS,Female,75,White,At least some high school,Keeping house,30.4188,-91.4334,NR
LA757,LAGS,Male,55,White,At least some high school,Operative,32.8026,-91.1842,picket fence 
LA758,LAGS,Female,83,White,At least some high school,Keeping house,32.861,-91.3905,fence 
LA758,LAGS,Female,83,White,At least some high school,Keeping house,32.861,-91.3905,picket fence 
LA758,LAGS,Female,83,White,At least some high school,Keeping house,32.861,-91.3905,picket(s) 
LA760,LAGS,Male,65,White,At least some college or beyond,Farmer,32.5159,-91.1443,picket fence 
LA762,LAGS,Male,82,White,At least some high school,Farmer,31.9562,-91.3558,NR
LA763,LAGS,Male,92,White,Between 1 and 8 years,Farmer,32.9345,-92.6082,NR
LA764,LAGS,Male,76,White,At least some high school,Farmer,32.9342,-92.556,paling fence 
LA764,LAGS,Male,76,White,At least some high school,Farmer,32.9342,-92.556,paling(s) 
LA765,LAGS,Female,47,White,At least some high school,Keeping house,32.935,-92.6064,picket fence 
LA767,LAGS,Female,70,White,Between 1 and 8 years,Keeping house,32.504,-92.1281,paling fence 
LA767,LAGS,Female,70,White,Between 1 and 8 years,Keeping house,32.504,-92.1281,picket fence 
LA769,LAGS,Male,36,White,At least some high school,Operative,32.5098,-92.1171,picket fence 
LA770,LAGS,Male,55,White,At least some college or beyond,Clerical or sales position,32.5099,-92.1186,picket fence 
LA770,LAGS,Male,55,White,At least some college or beyond,Clerical or sales position,32.5099,-92.1186,wooden fence 
LA772,LAGS,Male,73,White,Between 1 and 8 years,Farmer,32.5861,-92.7391,picket fence 
LA773,LAGS,Male,77,White,Between 1 and 8 years,Farmer,32.701,-93.2316,NR
LA775,LAGS,Male,87,White,Between 1 and 8 years,Farmer,32.3119,-93.9442,fence 
LA775,LAGS,Male,87,White,Between 1 and 8 years,Farmer,32.3119,-93.9442,paling(s) 
LA776,LAGS,Female,36,White,At least some high school,Keeping house,32.5126,-93.7461,fence 
LA776,LAGS,Female,36,White,At least some high school,Keeping house,32.5126,-93.7461,picket fence 
LA776,LAGS,Female,36,White,At least some high school,Keeping house,32.5126,-93.7461,picket(s) 
LA778,LAGS,Female,79,White,At least some college or beyond,Teacher,32.5096,-93.7431,picket fence 
LA779,LAGS,Female,23,White,At least some college or beyond,Teacher,32.5159,-93.7476,picket fence 
LA780,LAGS,Male,20,White,At least some college or beyond,Student,32.5143,-93.7478,picket fence 
LA781,LAGS,Female,88,White,Between 1 and 8 years,Keeping house,32.0846,-93.8097,fence 
LA781,LAGS,Female,88,White,Between 1 and 8 years,Keeping house,32.0846,-93.8097,picket fence 
LA782,LAGS,Male,80,White,Between 1 and 8 years,Farmer,32.0152,-93.3387,paling(s) 
LA782,LAGS,Male,80,White,Between 1 and 8 years,Farmer,32.0152,-93.3387,picket fence 
LA782,LAGS,Male,80,White,Between 1 and 8 years,Farmer,32.0152,-93.3387,picket(s) 
LA783,LAGS,Male,69,White,At least some high school,Craftsman or foreman,32.0147,-93.3422,fence 
LA785,LAGS,Female,88,White,At least some high school,Keeping house,31.6903,-93.3044,fence 
LA785,LAGS,Female,88,White,At least some high school,Keeping house,31.6903,-93.3044,picket fence 
LA786,LAGS,Male,67,White,Between 1 and 8 years,Farmer,31.653,-93.2021,picket fence 
LA787,LAGS,Male,42,White,At least some college or beyond,"Manager, official or proprietor",31.7618,-93.0891,picket fence 
LA788,LAGS,Male,76,White,Between 1 and 8 years,Farmer,31.5688,-93.4799,pieu fence 
LA790,LAGS,Male,85,White,Between 1 and 8 years,Farmer,31.2518,-93.3418,NR
LA791,LAGS,Male,51,White,At least some high school,Operative,31.1817,-93.2865,picket fence 
LA792,LAGS,Female,95,White,At least some high school,Keeping house,30.7606,-93.1295,paling(s) 
LA792,LAGS,Female,95,White,At least some high school,Keeping house,30.7606,-93.1295,picket(s) 
LA793,LAGS,Male,67,White,At least some high school,Farmer,30.8395,-93.287,picket(s) 
LA794,LAGS,Male,77,White,Between 1 and 8 years,Farmer,31.9259,-92.6396,picket fence 
LA795,LAGS,Male,85,White,At least some high school,Operative,31.5195,-92.7061,NR
LA797,LAGS,Male,72,White,Between 1 and 8 years,Farmer,31.2975,-92.6118,picket fence 
LA798,LAGS,Male,56,White,At least some high school,"Manager, official or proprietor",31.3119,-92.4466,picket fence 
LA799,LAGS,Male,77,White,At least some high school,Farmer,31.3659,-91.8289,cypress pieu 
LA799,LAGS,Male,77,White,At least some high school,Farmer,31.3659,-91.8289,pieu fence 
LA799,LAGS,Male,77,White,At least some high school,Farmer,31.3659,-91.8289,wooden fence 
LA800,LAGS,Male,76,White,Between 1 and 8 years,Farmer,31.9032,-91.8844,picket fence 
LA800,LAGS,Male,76,White,Between 1 and 8 years,Farmer,31.9032,-91.8844,yard fence 
LA801,LAGS,Female,46,White,At least some high school,Keeping house,31.7697,-91.8244,picket(s) 
LA802,LAGS,Male,84,White,Between 1 and 8 years,Farmer,31.1246,-92.0625,NR
LA803,LAGS,Male,84,White,Between 1 and 8 years,Farmer,31.1223,-92.0633,picket(s) 
,LAGS,Male,64,White,Between 1 and 8 years,Farmer,31.0842,-92.1902,NR
LA804,LAGS,Male,57,White,At least some college or beyond,"Manager, official or proprietor",30.5255,-92.0823,NR
,LAGS,Male,64,White,Between 1 and 8 years,"Manager, official or proprietor",30.5318,-92.082,NR
LA805,LAGS,Female,76,White,Between 1 and 8 years,Keeping house,30.5689,-92.3217,paling(s) 
LA805,LAGS,Female,76,White,Between 1 and 8 years,Keeping house,30.5689,-92.3217,picket(s) 
LA806,LAGS,Male,48,White,At least some high school,Farmer,30.689,-92.2755,picket fence 
,LAGS,Male,38,White,At least some high school,Farmer,30.5683,-92.3219,NR
LA807,LAGS,Male,82,White,Between 1 and 8 years,Farmer,30.1592,-92.1757,picket fence 
LA809,LAGS,Male ,52,White,At least some college or beyond,Farmer,30.1592,-92.1714,fence 
LA809,LAGS,Male ,52,White,At least some college or beyond,Farmer,30.1592,-92.1714,picket fence 
LA810,LAGS,Male,83,White,Between 1 and 8 years,Farmer,30.3311,-92.4943,fence 
LA810,LAGS,Male,83,White,Between 1 and 8 years,Farmer,30.3311,-92.4943,pieu fence 
LA810,LAGS,Male,83,White,Between 1 and 8 years,Farmer,30.3311,-92.4943,yard fence 
LA812,LAGS,Male,87,White,Between 1 and 8 years,"Manager, official or proprietor",29.6466,-92.4504,picket fence 
LA812,LAGS,Male,87,White,Between 1 and 8 years,"Manager, official or proprietor",29.6466,-92.4504,pieu fence 
LA813,LAGS,Female,65,White,Between 1 and 8 years,Keeping house,29.6466,-92.4477,picket fence 
LA814,LAGS,Female,87,White,Between 1 and 8 years,Laborer,30.1133,-92.9627,picket(s) 
LA815,LAGS,Male ,68,White,At least some high school,Boilermaker,30.2266,-93.2174,NR
LA816,LAGS,Female,36,White,At least some college or beyond,Keeping house,30.2266,-93.2174,picket fence 
LA817,LAGS,Male,67,White,At least some high school,Rec center caretaker,29.7977,-93.3252,fence 
LA817,LAGS,Male,67,White,At least some high school,Rec center caretaker,29.7977,-93.3252,pieu fence 
,LAGS,Male,83,White,Unknown,Farmer,34.5748,-89.326,NR
,LAGS,Male,78,White,Between 1 and 8 years,Farmer,34.2467,-88.9983,NR
,LAGS,Female,83,White,At least some college or beyond,Teacher,33.4952,-88.4282,NR
,LAGS,Male,63,White,At least some college or beyond,Farmer,33.3318,-88.7578,NR
,LAGS,Female,80,White,At least some high school,Keeping house,33.0629,-89.59,NR
,LAGS,Female,68,White,At least some college or beyond,Keeping house,33.0659,-89.5867,NR
,LAGS,Male,89,White,Between 1 and 8 years,Farmer,33.5174,-90.1758,NR
,LAGS,Male,82,White,Between 1 and 8 years,Farmer,32.8294,-89.1312,NR
,LAGS,Female,72,White,At least some high school,Keeping house,32.987,-91.0762,NR
,LAGS,Male,87,White,NoFormal education,Farmer,31.7568,-89.2745,NR
,LAGS,Female,80,White,Between 1 and 8 years,Keeping house,31.7543,-89.2782,NR
,LAGS,Male,85,White,At least some high school,Farmer,31.7843,-89.2871,NR
,LAGS,Female,66,White,At least some high school,Service worker,31.6969,-89.1346,NR
,LAGS,Male,83,White,At least some high school,Laborer,31.9603,-89.8688,NR
,LAGS,Female,79,White,At least some high school,Keeping house,31.581,-90.4475,NR
,LAGS,Male,85,White,Between 1 and 8 years,Craftsman or foreman,30.4164,-88.8073,NR
,LAGS,Male,72,White,At least some high school,Postmaster,30.396,-88.8853,NR
,LAGS,Male,75,White,Between 1 and 8 years,Farmer ,36.1628,-82.8312,NR
,LAGS,Female,22,White,At least some college or beyond,Teacher,36.2147,-83.2928,NR
,LAGS,Female,59,White,Between 1 and 8 years,Private household work or gardener,35.7498,-83.9949,NR
,LAGS,Male,87,White,Between 1 and 8 years,Craftsman or foreman,36.3353,-84.6086,NR
,LAGS,Male,81,White,Between 1 and 8 years,Farmer,36.1206,-84.6538,NR
,LAGS,Male,78,White,Between 1 and 8 years,Laborer,35.1944,-84.887,NR
,LAGS,Female,52,White,Between 1 and 8 years,Professional & technical,35.0401,-85.3174,NR
,LAGS,Male,20,White,At least some high school,Laborer,35.0565,-85.3098,NR
,LAGS,Female,23,White,At least some college or beyond,Student,36.3884,-86.4464,NR
,LAGS,Male,67,White,Between 1 and 8 years,Laborer,36.4964,-87.8819,NR
,LAGS,Male,83,White,Between 1 and 8 years,Farmer,35.7697,-89.5948,NR
,LAGS,Male,84,White,Between 1 and 8 years,Clerical or sales position,35.2561,-88.9879,NR
,LAGS,Female,87,White,At least some high school,Clerical or sales position,35.139,-90.0459,NR
,LAGS,Female,21,White,At least some college or beyond,Student,35.1637,-90.0367,NR
TN517,LAGS,Male,30,White,At least some college or beyond,"Manager, official or proprietor",35.1382,-90.0544,white fence 
TN517,LAGS,Male,30,White,At least some college or beyond,"Manager, official or proprietor",35.1382,-90.0544,wooden-frame fence 
TN519,LAGS,Male,56,White,At least some college or beyond,"Manager, official or proprietor",35.2048,-89.848,picket fence 
TX819,LAGS,Male,70,White,Between 1 and 8 years,Farmer,30.9996,-93.7077,picket fence 
TX820,LAGS,Female,42,White,At least some college or beyond,Illustrator,30.9996,-93.7077,picket fence 
TX822,LAGS,Female,76,White,At least some high school,Keeping house,31.6049,-94.659,picket fence 
TX823,LAGS,Male,37,White,At least some high school,Farmer,31.5292,-94.7698,picket fence 
TX824,LAGS,Female,42,White,At least some college or beyond,Clerical or sales position,31.6039,-94.656,picket fence 
TX825,LAGS,Female,76,White,At least some high school,Keeping house,32.3457,-95.2967,picket fence 
TX826,LAGS,Male,53,White,At least some college or beyond,Service worker,32.3467,-95.2943,picket fence 
TX827,LAGS,Female,30,White,At least some college or beyond,Keeping house,32.3467,-95.3007,fence 
TX827,LAGS,Female,30,White,At least some college or beyond,Keeping house,32.3467,-95.3007,picket fence 
TX829,LAGS,Female,80,White,Between 1 and 8 years,Clerical or sales position,32.5598,-94.3955,paling fence 
TX829,LAGS,Female,80,White,Between 1 and 8 years,Clerical or sales position,32.5598,-94.3955,paling(s) 
TX829,LAGS,Female,80,White,Between 1 and 8 years,Clerical or sales position,32.5598,-94.3955,picket fence 
TX829,LAGS,Female,80,White,Between 1 and 8 years,Clerical or sales position,32.5598,-94.3955,picket(s) 
TX831,LAGS,Male,32,White,At least some college or beyond,Professional & technical,32.5451,-94.3502,picket fence 
TX832,LAGS,Male,82,White,At least some high school,Operative,33.4283,-94.0431,picket fence 
TX833,LAGS,Male,27,White,At least some college or beyond,Operative,33.4252,-94.048,picket fence 
TX833,LAGS,Male,27,White,At least some college or beyond,Operative,33.4252,-94.048,wooden fence 
TX834,LAGS,Male,29,White,At least some college or beyond,"Manager, official or proprietor",33.1571,-94.9685,picket(s) 
TX836,LAGS,Male,61,White,Between 1 and 8 years,Craftsman or foreman,33.8448,-95.6983,paling fence 
TX836,LAGS,Male,61,White,Between 1 and 8 years,Craftsman or foreman,33.8448,-95.6983,paling(s) 
TX836,LAGS,Male,61,White,Between 1 and 8 years,Craftsman or foreman,33.8448,-95.6983,slat(s) 
TX836,LAGS,Male,61,White,Between 1 and 8 years,Craftsman or foreman,33.8448,-95.6983,yard fence 
TX837,LAGS,Female,86,White,At least some college or beyond,Teacher,33.1391,-96.1072,picket fence 
TX838,LAGS,Male,93,White,Between 1 and 8 years,Operative,33.7596,-96.5366,paling fence 
TX838,LAGS,Male,93,White,Between 1 and 8 years,Operative,33.7596,-96.5366,picket fence 
TX839,LAGS,Male,74,White,Between 1 and 8 years,Farmer,33.4882,-97.1651,wood fence 
TX840,LAGS,Female,79,White,Between 1 and 8 years,Keeping house,33.2166,-97.1317,NR
TX841,LAGS,Female,70,White,Between 1 and 8 years,Operative,32.749,-97.3294,NR
TX844,LAGS,Female,85,White,At least some college or beyond,Craftsman or foreman,32.778,-96.7962,NR
TX845,LAGS,Female,16,White,At least some high school,Student,32.7806,-96.8031,picket fence 
TX846,LAGS,Male,29,White,At least some college or beyond,Clerical or sales position,32.7787,-96.8041,picket fence 
TX848,LAGS,Female,71,White,At least some college or beyond,Keeping house,31.7617,-95.6315,fence 
TX848,LAGS,Female,71,White,At least some college or beyond,Keeping house,31.7617,-95.6315,picket fence 
TX849,LAGS,Male,60,White,At least some college or beyond,"Manager, official or proprietor",32.0915,-96.4637,fence 
TX849,LAGS,Male,60,White,At least some college or beyond,"Manager, official or proprietor",32.0915,-96.4637,paling fence 
TX849,LAGS,Male,60,White,At least some college or beyond,"Manager, official or proprietor",32.0915,-96.4637,picket fence 
TX850,LAGS,Male,68,White,At least some high school,Farmer,32.3863,-96.8488,paling(s) 
TX850,LAGS,Male,68,White,At least some high school,Farmer,32.3863,-96.8488,picket fence 
TX851,LAGS,Female,84,White,At least some high school,Clerical or sales position,32.4312,-97.1019,paling fence 
TX851,LAGS,Female,84,White,At least some high school,Clerical or sales position,32.4312,-97.1019,picket fence 
TX852,LAGS,Female,73,White,Between 1 and 8 years,Keeping house,31.5705,-97.1495,picket fence 
TX853,LAGS,Female,80,White,Between 1 and 8 years,Keeping house,31.572,-97.1491,NR
TX854,LAGS,Male,77,White,At least some high school,Clerical or sales position,31.0982,-97.3428,picket fence 
,LAGS,Male,96,White,Between 1 and 8 years,Clerical or sales position,31.0977,-97.3451,NR
TX855,LAGS,Male,74,White,Between 1 and 8 years,Farmer,30.5321,-96.6925,fencing-plank fence 
TX855,LAGS,Male,74,White,Between 1 and 8 years,Farmer,30.5321,-96.6925,field fence 
TX855,LAGS,Male,74,White,Between 1 and 8 years,Farmer,30.5321,-96.6925,paling fence 
TX855,LAGS,Male,74,White,Between 1 and 8 years,Farmer,30.5321,-96.6925,picket fence 
TX856,LAGS,Male,88,White,Between 1 and 8 years,Craftsman or foreman,30.7182,-95.569,picket fence 
TX856,LAGS,Male,88,White,Between 1 and 8 years,Craftsman or foreman,30.7182,-95.569,yard fence 
,LAGS,Male,78,White,At least some high school,Farmer,30.7323,-95.5285,NR
,LAGS,Male,73,White,At least some college or beyond,Farmer,30.7162,-95.5256,NR
TX858,LAGS,Male,67,White,At least some college or beyond,Farmer,30.723,-95.5515,picket fence 
TX859,LAGS,Female,41,White,At least some college or beyond,Keeping house,30.7237,-95.5529,picket fence 
TX861,LAGS,Male,64,White,At least some high school,Craftsman or foreman,30.075,-94.1021,picket fence 
,LAGS,Male,55,White,At least some high school,"Manager, official or proprietor",29.7334,-93.8945,NR
TX862,LAGS,Male,30,White,At least some high school,Operative,29.8989,-93.9287,NR
TX863,LAGS,Female,47,White,At least some college or beyond,Keeping house,30.086,-94.1108,picket fence 
TX865,LAGS,Male,72,White,Between 1 and 8 years,Craftsman or foreman,29.7622,-95.3684,picket fence 
TX867,LAGS,Male,15,White,At least some high school,Student,29.7585,-95.3713,picket fence 
TX870,LAGS,Female,33,White,At least some college or beyond,"Manager, official or proprietor",29.7594,-95.3616,picket fence 
,LAGS,Male,32,White,At least some college or beyond,Teacher,29.7621,-95.366,NR
TX871,LAGS,Male,79,White,At least some college or beyond,Clerical or sales position,29.2959,-94.808,picket fence 
TX873,LAGS,Female,86,White,No formal education,Clerical or sales position,28.9635,-95.8551,picket(s) 
TX874,LAGS,Male,67,White,At least some high school,"Manager, official or proprietor",28.6909,-95.9682,picket fence 
TX875,LAGS,Male,75,White,Between 1 and 8 years,Farmer,28.8808,-97.1721,picket fence 
TX876,LAGS,Female,29,White,At least some college or beyond,Keeping house,28.8057,-96.9994,fence 
TX876,LAGS,Female,29,White,At least some college or beyond,Keeping house,28.8057,-96.9994,picket fence 
TX877,LAGS,Male,44,White,At least some college or beyond,Professional & technical,28.8055,-97.0035,paling fence 
TX877,LAGS,Male,44,White,At least some college or beyond,Professional & technical,28.8055,-97.0035,picket fence 
TX878,LAGS,Female,59,White,At least some college or beyond,Public servant,28.4551,-96.888,paling fence 
TX878,LAGS,Female,59,White,At least some college or beyond,Public servant,28.4551,-96.888,picket fence 
TX878,LAGS,Female,59,White,At least some college or beyond,Public servant,28.4551,-96.888,yard fence 
TX879,LAGS,Male,83,White,At least some high school,Clerical or sales position,28.6682,-97.3888,picket fence 
TX879,LAGS,Male,83,White,At least some high school,Clerical or sales position,28.6682,-97.3888,red pickets 
TX880,LAGS,Male,79,White,Between 1 and 8 years,Craftsman or foreman,29.6822,-96.9034,fence 
TX881,LAGS,Female,59,White,At least some high school,Keeping house,30.0199,-96.7295,picket fence 
TX882,LAGS,Male,76,White,At least some high school,Operative,30.2624,-97.7411,picket fence 
TX883,LAGS,Female,82,White,At least some college or beyond,Clerical or sales position,30.2633,-97.7445,picket fence 
TX883,LAGS,Female,82,White,At least some college or beyond,Clerical or sales position,30.2633,-97.7445,white picket fence 
TX884,LAGS,Male,90,White,Between 1 and 8 years,"Manager, official or proprietor",29.6984,-98.1203,slat fencing 
TX885,LAGS,Female,72,White,Between 1 and 8 years,"Manager, official or proprietor",29.7028,-98.1243,picket fence 
TX886,LAGS,Female,53,White,At least some high school,Keeping house,29.4243,-98.4932,picket fence 
TX887,LAGS,Male,65,White,At least some high school,Service worker,29.4252,-98.4974,picket(s) 
TX889,LAGS,Female,16,White,At least some high school,Student,29.4235,-98.4901,picket fence 
TX891,LAGS,Female,25,White,At least some college or beyond,Clerical or sales position,29.4264,-98.4913,picket fence 
TX892,LAGS,Male,73,White,At least some college or beyond,"Manager, official or proprietor",29.3475,-99.1417,paling(s) 
TX892,LAGS,Male,73,White,At least some college or beyond,"Manager, official or proprietor",29.3475,-99.1417,picket fence 
TX893,LAGS,Female,58,White,Between 1 and 8 years,Clerical or sales position,27.5309,-99.5015,picket fence 
TX894,LAGS,Male,74,White,At least some high school,Farmer,28.0295,-99.3581,picket fence 
TX895,LAGS,Male,40,White,At least some college or beyond,Farmer,27.5309,-99.5044,fence 
TX895,LAGS,Male,40,White,At least some college or beyond,Farmer,27.5309,-99.5044,picket fence 
TX896,LAGS,Male,77,White,Between 1 and 8 years,Laborer,27.0475,-99.4376,NR
TX897,LAGS,Male,71,White,At least some college or beyond,Clerical or sales position,27.0421,-99.437,fence 
TX898,LAGS,Male,68,White,At least some high school,"Manager, official or proprietor",26.4024,-99.0086,fence 
TX899,LAGS,Female,40,White,At least some high school,Keeping house,26.4028,-99.0116,NR
TX900,LAGS,Male,53,White,At least some high school,Operator,27.2264,-98.1412,picket fence 
TX901,LAGS,Female,29,White,At least some college or beyond,Clerical or sales position,27.2268,-98.1443,picket fence 
TX902,LAGS,Male,23,White,At least some college or beyond,Student,28.0367,-97.5092,picket fence 
TX904,LAGS,Male,84,White,At least some high school,Public servant,27.7942,-97.3915,picket fence 
TX905,LAGS,Female,29,White,At least some college or beyond,Professional & technical,27.7964,-97.403,picket fence 
TX906,LAGS,Female,72,White,At least some college or beyond,Teacher,27.7998,-97.3914,cedar fence 
TX906,LAGS,Female,72,White,At least some college or beyond,Teacher,27.7998,-97.3914,picket fence 
TX907,LAGS,Female,86,White,Between 1 and 8 years,Keeping house,26.2035,-98.2301,picket fence 
TX908,LAGS,Female,20,White,At least some college or beyond,Student,26.301,-98.1602,picket fence 
,LAGS,Female,75,White,At least some college or beyond,Teacher,26.3016,-98.1636,NR
TX909,LAGS,Female,56,White,Between 1 and 8 years,Keeping house,25.9019,-97.4883,picket fence 
TX910,LAGS,Male,69,White,At least some college or beyond,Farmer,25.9049,-97.4847,picket fence 
TX910,LAGS,Male,69,White,At least some college or beyond,Farmer,25.9049,-97.4847,picket(s) 
TX911,LAGS,Male,43,White,At least some college or beyond,"Manager, official or proprietor",25.8996,-97.4955,picket fence 
NY1,LAMSAS,Male,53,White,At least some high school,Farmer,41.13889,-72.30389,NR
NY3A,LAMSAS,Male,71,White,At least some high school,Farmer,40.77917,-72.91583,picket fence
NY2A,LAMSAS,Male,63,White,No formal schooling,Farmer,40.965,-72.185,NR
NY3B,LAMSAS,Male,70,White,At least some high school,Farmer,40.86806,-73.42611,picket fence
NY2B,LAMSAS,Male,85,White,At least some high school,Farmer,40.92528,-72.27861,NR
NY3C,LAMSAS,Male,50,White,At least some high school,Farmer,40.86861,-73.00195,picket fence
NY2C,LAMSAS,Female,80,White,Between 1 and 8 years,Keeping house,40.93778,-72.30139,NR
NY3D,LAMSAS,Male,48,White,At least some high school,Farmer,40.9125,-73.30139,patch
NY4A,LAMSAS,Male,69,White,Between 1 and 8 years,Farmer,40.82833,-73.62861,picket fence
NY4B,LAMSAS,Male,79,White,Between 1 and 8 years,Operative,40.6575,-73.58361,picket fence
NY4C,LAMSAS,Male,51,White,At least some high school,Farmer,40.7125,-73.55889,picket fence
NY5A,LAMSAS,Female,70,White,At least some high school,Keeping house,40.62111,-73.93528,picket fence
NY5B,LAMSAS,Male,32,White,At least some high school,Clerical or sales position,40.66666,-73.95,picket fence
NY5C,LAMSAS,Female,51,White,At least some high school,Keeping house,40.67667,-73.84417,picket fence
NY5D,LAMSAS,Male,64,White,Between 1 and 8 years,Public Servant,40.68333,-73.91666,picket fence
NY5E,LAMSAS,Female,82,White,Between 1 and 8 years,Keeping house,40.66667,-73.95944,picket fence
NY5F,LAMSAS,Male,53,White,Between 1 and 8 years,Clerical or sales position,40.66667,-73.9875,picket fence
NY5G,LAMSAS,Male,50,White,At least some high school,"Manager, official, or proprietor",40.625,-74,picket fence
NY5H!,LAMSAS,Male,68,White,At least some college or beyond,Professional or technical job,40.69528,-73.99416,paling fence
NY5I!,LAMSAS,Male,54,White,At least some college or beyond,Professional or technical job,40.76528,-73.81778,picket fence
NY6A,LAMSAS,Female,76,White,Between 1 and 8 years,Keeping house,40.53722,-74.195,picket fence
NY6B,LAMSAS,Female,48,White,At least some high school,Keeping house,40.51056,-74.24306,picket fence
NY7A,LAMSAS,Male,45,White,Between 1 and 8 years,Laborer,40.71417,-74.00639,picket fence
NY7B,LAMSAS,Male,39,White,Between 1 and 8 years,Operative,40.8125,-73.95,picket fence
NY7C,LAMSAS,Female,43,White,Between 1 and 8 years,Keeping house,40.80139,-73.96389,picket fence
NY7D,LAMSAS,Female,79,White,Between 1 and 8 years,Keeping house,40.83333,-73.94722,picket fence
NY7E,LAMSAS,Male,63,White,At least some high school,Clerical or sales position,40.67,-73.99805,picket fence
NY7F,LAMSAS,Female,67,White,At least some high school,Clerical or sales position,40.79722,-73.96778,picket fence
NY7G,LAMSAS,Female,55,White,At least some high school,Keeping house,40.79167,-73.93333,picket fence
NY7H,LAMSAS,Male,38,White,At least some high school,Clerical or sales position,40.75,-74,picket fence
NY7I,LAMSAS,Male,85,White,Between 1 and 8 years,Clerical or sales position,40.75417,-73.97639,picket fence
NY7J!,LAMSAS,Female,59,White,At least some high school,Other (see notes),40.76167,-73.96806,picket fence
